%MB0,BYTE,OS1.HW.I_nr,input
%MB1,BYTE,OS1.HW.I_mc,input
%MB2,BYTE,OS1.HW.I_ack,input
%Q1.0,BOOLEAN,OS1.MSIRow.MSI1.HW.Q_LB
%Q1.1,BOOLEAN,OS1.MSIRow.MSI1.HW.Q_RS
%Q1.3,BOOLEAN,OS1.MSIRow.MSI1.HW.Q_SA
%Q1.4,BOOLEAN,OS1.MSIRow.MSI1.HW.Q_TS
%QB2,BYTE,OS1.MSIRow.MSI1.HW.Q_LS
%QB3,BYTE,OS1.MSIRow.MSI1.HW.Q_groupCode
%QW4,WORD,OS1.MSIRow.MSI1.HW.Q_legendCode
%QB6,BYTE,OS1.MSIRow.MSI1.HW.Q_variationCode
%I10.0,BOOLEAN,OS1.MSIRow.MSI1.HW.I_LB_ret
%I10.4,BOOLEAN,OS1.MSIRow.MSI1.HW.I_TS_ret
%IB11,BYTE,OS1.MSIRow.MSI1.HW.I_FFS
%IB12,BYTE,OS1.MSIRow.MSI1.HW.I_WS
%IB13,BYTE,OS1.MSIRow.MSI1.HW.I_groupCode
%IW14,WORD,OS1.MSIRow.MSI1.HW.I_legendCode
%IB16,BYTE,OS1.MSIRow.MSI1.HW.I_variationCode
%IB23,BYTE,OS1.MSIRow.MSI1.HW.I_state
%IB24,BYTE,OS1.MSIRow.MSI1.HW.I_LS_ret
%Q7.0,BOOLEAN,OS1.MSIRow.MSI2.HW.Q_LB
%Q7.1,BOOLEAN,OS1.MSIRow.MSI2.HW.Q_RS
%Q7.3,BOOLEAN,OS1.MSIRow.MSI2.HW.Q_SA
%Q7.4,BOOLEAN,OS1.MSIRow.MSI2.HW.Q_TS
%QB8,BYTE,OS1.MSIRow.MSI2.HW.Q_LS
%QB9,BYTE,OS1.MSIRow.MSI2.HW.Q_groupCode
%QW10,WORD,OS1.MSIRow.MSI2.HW.Q_legendCode
%QB12,BYTE,OS1.MSIRow.MSI2.HW.Q_variationCode
%I25.0,BOOLEAN,OS1.MSIRow.MSI2.HW.I_LB_ret
%I25.4,BOOLEAN,OS1.MSIRow.MSI2.HW.I_TS_ret
%IB26,BYTE,OS1.MSIRow.MSI2.HW.I_FFS
%IB27,BYTE,OS1.MSIRow.MSI2.HW.I_WS
%IB28,BYTE,OS1.MSIRow.MSI2.HW.I_groupCode
%IW29,WORD,OS1.MSIRow.MSI2.HW.I_legendCode
%IB31,BYTE,OS1.MSIRow.MSI2.HW.I_variationCode
%IB38,BYTE,OS1.MSIRow.MSI2.HW.I_state
%IB39,BYTE,OS1.MSIRow.MSI2.HW.I_LS_ret
%M2.0,BOOLEAN,DetectorRow1.Detector1.HW.detect,input
%MB10,BYTE,DetectorRow1.Detector1.HW.I_speed,input
%MB11,BYTE,DetectorRow1.Detector1.HW.I_state,input
%M2.1,BOOLEAN,DetectorRow1.Detector2.HW.detect,input
%MB12,BYTE,DetectorRow1.Detector2.HW.I_speed,input
%MB13,BYTE,DetectorRow1.Detector2.HW.I_state,input
%M3.0,BOOLEAN,DetectorRow2.Detector1.HW.detect,input
%MB26,BYTE,DetectorRow2.Detector1.HW.I_speed,input
%MB27,BYTE,DetectorRow2.Detector1.HW.I_state,input
%M3.1,BOOLEAN,DetectorRow2.Detector2.HW.detect,input
%MB28,BYTE,DetectorRow2.Detector2.HW.I_speed,input
%MB29,BYTE,DetectorRow2.Detector2.HW.I_state,input
